,CAMIS,DBA,BORO,BUILDING,STREET
169,50013681,THE HOUSE IN GRAMERCY PARK,MANHATTAN,121,E. 17th ST.
170,50017430,Courtyard by Marriott Manhattan Chelsea,MANHATTAN,135,W 30TH ST
171,50018079,ESPACE,MANHATTAN,635,W 42ND ST
172,50018621,VILLAGE DEN RESTAURANT,MANHATTAN,225,W 12TH ST
173,50018895,JUNIPER,MANHATTAN,237,W 35TH ST
174,50032827,THE RIBBON,MANHATTAN,20,W 72ND ST
175,50033434,WING BISTRO,MANHATTAN,1109,1ST AVE
176,50033694,VIRGINIA'S,MANHATTAN,647,E 11TH ST
177,50033791,BENSON'S NYC,MANHATTAN,181,ESSEX ST
178,50034065,CLOCKTOWER,MANHATTAN,5,MADISON AVENUE
179,50034275,D.B.A.,MANHATTAN,41,1ST AVE
180,50035766,SMASHBURGER,MANHATTAN,10,W 33RD ST
181,50035787,KINOKUNIYA CAFE ZAIYA,MANHATTAN,1073,AVENUE OF THE AMERICAS
182,50037044,FUKU,MANHATTAN,163,1ST AVE
183,50038684,HARLEM HOOKAH,MANHATTAN,387,LENOX AVE
184,50040374,INWOOD BAR AND GRILL,MANHATTAN,4892,BROADWAY
185,50041322,CRAVE FISH BAR,MANHATTAN,428,AMSTERDAM AVE
186,50041646,HIGHLINE CAFE,MANHATTAN,85,10TH AVE
187,50044340,WENDY'S,MANHATTAN,4,SOUTH ST
188,50044612,Bar at the Garden,MANHATTAN,4,PENN PLZ
189,50044619,GARDEN MARKET,MANHATTAN,4,PENN PLZ
190,50044902,HOGSHEAD TAVERN,MANHATTAN,126,HAMILTON PL
191,50045112,GARDEN PUB,MANHATTAN,4,PENN PLZ
192,50045771,ASCENT LOUNGE,MANHATTAN,10,COLUMBUS CIR
193,50046719,CITI HOSPITALITY,MANHATTAN,388,GREENWICH ST
194,50046981,The Wilson,MANHATTAN,132,W 27TH ST
195,50047529,GLEASON'S TAVERN,MANHATTAN,206,W 41ST ST
196,50048244,LOTTE NEW YORK PALACE -4th floor kitchen,MANHATTAN,455,MADISON AVE
197,50048348,SIDE PARK CAFE,MANHATTAN,1230,5TH AVE
198,50048588,THE BEATRICE INN,MANHATTAN,285,W 12TH ST
199,50048795,MEZZE CAFE AND BAR,MANHATTAN,210,E 41ST ST
200,50048856,THREE CORNERS CAFE,MANHATTAN,599,LEXINGTON AVE
201,50049010,FLIK INTERNATIONAL,MANHATTAN,9,W 57TH ST
202,50049236,HAMILTON'S BAKERY,MANHATTAN,3570,BROADWAY
203,50050247,METROGRAPH,MANHATTAN,7,LUDLOW ST
204,50052331,SPOON TABLE & BAR,MANHATTAN,40,E 33RD ST
205,50054344,BROADSTONE BAR & KITCHEN,MANHATTAN,88,BROAD ST
206,50054435,NYLO NYC,MANHATTAN,2178,BROADWAY
207,50055210,"RESTAURANT ASSOCIATES, INC",MANHATTAN,1133,AVE OF AMERICAS
208,50055552,IPIC THEATERS,MANHATTAN,11,FULTON ST
209,50056063,POP & POUR,MANHATTAN,200,DYCKMAN ST
210,50056067,HAROLD'S MEAT & THREE,MANHATTAN,231,HUDSON ST
211,50056951,NEUBERGER BERMAN CAFE,MANHATTAN,1290,AVE AMERICAS
212,50056993,CIVIC DELI,MANHATTAN,111,WORTH ST
213,50058751,CIRCLE LINE: BRONX,MANHATTAN,PIER 83,W 42ND ST @ HUDSON RIVER
214,50058810,GRAND SLAM BANQUET HALL,MANHATTAN,3534,BROADWAY
215,50059202,NICKEL AND DINER,MANHATTAN,199,CENTRE ST
216,50059435,GARDEN GRILL & BAR,MANHATTAN,63,W 35TH ST
217,50059616,CONVENE,MANHATTAN,117,W 46TH ST
218,50059751,WATTLE CAFE,MANHATTAN,489,3RD AVE
219,50059993,SEAMORE'S,MANHATTAN,161,8TH AVE
220,50060220,CAFE KABILA,MANHATTAN,250,W 39TH ST
221,50060811,PASTA FLYER,MANHATTAN,510,6TH AVE
222,50060989,CAROL'S CAFE,MANHATTAN,217,E 51ST ST
223,50061032,WHITE & CASE CAFE,MANHATTAN,1221,AVENUE OF THE AMERICAS
224,50061079,IHS MARKIT CAFE,MANHATTAN,450,W 33RD ST
225,50063152,TSQ FOOD COURT,MANHATTAN,163,W 48TH ST
226,50063170,MADE NICE,MANHATTAN,8,W 28TH ST
227,50063625,UTOPIA RESTAURANT,MANHATTAN,267,AMSTERDAM AVE
228,50064551,THE CROWN,MANHATTAN,50,BOWERY
229,50066463,53RD GOURMET DELI,MANHATTAN,1301,AVE OF TH AMER
230,50067978,"WEIL, GOTSHAL, & MANGES",MANHATTAN,767,5TH AVE
231,50068194,JD'S PLACE - INSIDE LANDMARK AT 57 WEST,MANHATTAN,657,W 57TH ST
232,50069015,FRYGUYS,MANHATTAN,150,E 2ND ST
233,50069682,COOK EATERY,MANHATTAN,1412,BROADWAY
234,50070060,BEAUTY BAR,MANHATTAN,231,E 14TH ST
235,50070352,THE CLUB,MANHATTAN,65,E 55TH ST
236,50071095,THE WING SOHO,MANHATTAN,52,MERCER ST
237,50072395,ROCKWELL'S,MANHATTAN,105,BROAD ST
238,50072604,TENDER GREENS,MANHATTAN,900,BROADWAY
239,50073375,PENTAGRAM DESIGN,MANHATTAN,250,PARK AVE S
240,50074163,CONVENE,MANHATTAN,101,GREENWICH ST
241,50075788,FLIGHT 151,MANHATTAN,151,8TH AVE
242,50076122,EAT CLUB INC,MANHATTAN,260,W 39TH ST
243,50078374,THE GREENWICH SOCIAL,MANHATTAN,74,5TH AVE
244,50078582,VICTORIA'S SECRET / STARBUCKS,MANHATTAN,1740,BROADWAY
245,50082098,BROOKLYN CHOP HOUSE,MANHATTAN,150,NASSAU ST
246,50083579,SHAKE SHACK (INNOVATION KITCHEN),MANHATTAN,225,VARICK ST
247,50083757,THE WAGNER HOTEL BANQUET KITCHEN,MANHATTAN,2,WEST ST
248,50084314,FRESH&CO,MANHATTAN,839,7TH AVE
249,50084744,MODERN GOURMET,MANHATTAN,793,BROADWAY
