,accepts credit cards,accepts bitcoin,accepts insurance,accepts apple pay,alcohol,by appointment only,caters,coat check,delivery,dogs allowed,hair types specialized in,happy hour,has tv,outdoor seating,parking,bike parking,smoking allowed,take-out,takes reservations,drive-thru,waiter service,wheelchair accessible,wi-fi,opened 24hrs,gender neutral restrooms,ambience,attire,best nights,good for dancing,good for groups,good for kids,good for,music,noise level,price range,has pool table,price_range,health_score,overall_rating,overall_reviews,restaurant_link
50011590,Yes,,,No,Full Bar,,No,,No,,,,No,No,Street,No,,No,Yes,No,Yes,,No,,Yes,Trendy,Casual,,,Yes,No,"Brunch, Dinner",,Average,,,$31-60,A,4,805,https://www.yelp.com/biz/upland-new-york?start=0
50016081,Yes,No,,,Full Bar,,Yes,Yes,No,,,No,No,No,Street,No,,No,Yes,,Yes,Yes,No,,Yes,,Casual,"Wed, Sat, Sun",No,Yes,No,Dinner,,Average,,No,$31-60,A,3.5,140,https://www.yelp.com/biz/august-new-york-3?start=0
50056067,Yes,,,,Full Bar,,No,,Yes,,,,Yes,No,,No,,Yes,Yes,,Yes,No,No,,,Casual,Casual,,,Yes,Yes,Dinner,,Average,,,$11-30,,3.5,120,https://www.yelp.com/biz/harolds-new-york?start=0
50050247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,A,4,83,https://www.yelp.com/biz/metrograph-new-york-2?start=0
40511479,Yes,,,,Full Bar,,,,,,,Yes,No,Yes,Street,Yes,,,Yes,,,,No,,,Intimate,,"Thu, Fri, Sat",,Yes,,,DJ,Average,,No,Pricey,,4,284,https://www.yelp.com/biz/cibar-new-york?start=0
41631962,Yes,,,No,No,,No,,No,,,,Yes,No,Street,Yes,,Yes,No,No,,,No,,,Casual,,,,Yes,Yes,"Lunch, Dinner",,Average,,,Under $10,A,3,31,https://www.yelp.com/biz/popeyes-louisiana-kitchen-new-york-15?start=0
41335133,Yes,,,No,No,,No,,Yes,,,,Yes,No,Street,Yes,,Yes,No,,No,,No,,Yes,Casual,,,,Yes,Yes,Lunch,,Average,,,Under $10,A,4,110,https://www.yelp.com/biz/mama-eatery-new-york?start=0
41627949,Yes,,,No,,No,,,,,,,,,,,,,,,,,Paid,,Yes,,,,,,,,,,,,Pricey,A,3.5,222,https://www.yelp.com/biz/royalton-hotel-new-york?start=0
40591422,Yes,,,,Full Bar,,No,No,No,,,Yes,Yes,No,Street,Yes,,Yes,No,,Yes,No,No,,Yes,Casual,Casual,"Thu, Fri, Sat",,Yes,No,Late Night,,Average,,Yes,$11-30,A,3,140,https://www.yelp.com/biz/the-parlour-new-york?start=0
41705357,Yes,,,No,Full Bar,,,,,,,,No,Yes,Street,Yes,,,Yes,,,,,,,Trendy,,"Wed, Fri, Sat",,Yes,,,,Average,,No,Moderate,A,4,93,https://www.yelp.com/biz/the-third-man-new-york?start=0
41416781,Yes,,,Yes,Full Bar,,No,No,Yes,,,Yes,Yes,No,Street,Yes,,Yes,Yes,,,,No,,Yes,Casual,Casual,,,Yes,No,Dinner,Background,Average,,No,$11-30,,3.5,435,https://www.yelp.com/biz/rye-house-new-york?start=0
41628608,Yes,,,No,Full Bar,,Yes,Yes,Yes,No,,Yes,No,Yes,Street,No,,Yes,Yes,,Yes,,No,,Yes,Trendy,Dressy,,No,Yes,No,Dinner,,Average,,No,$31-60,A,4,2183,https://www.yelp.com/biz/ilili-new-york-2?start=0
41313515,Yes,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,Moderate,,3,4,https://www.yelp.com/biz/dunkin-donuts-baskin-robbins-new-york?start=0
50062581,Yes,,,,No,,,,Yes,,,,No,No,Street,Yes,,Yes,No,No,No,,No,,,"Hipster, Casual, Trendy",,,,No,Yes,Lunch,,Average,,,Under $10,A,4,142,https://www.yelp.com/biz/375-degrees-new-york?start=0
41690590,Yes,,,No,Full Bar,,,,,,,,No,No,Street,Yes,,,No,,,,No,,Yes,Trendy,,"Tue, Fri, Sat",No,Yes,,,,Average,,No,Pricey,B,4,354,https://www.yelp.com/biz/pouring-ribbons-new-york?start=0
41655590,Yes,,,Yes,No,,Yes,,Yes,,,,No,No,Street,Yes,,Yes,No,,,,Free,,,Casual,,,,Yes,Yes,"Breakfast, Lunch",,Average,,,Under $10,A,3.5,193,https://www.yelp.com/biz/gigi-cafe-new-york-5?start=0
40705931,Yes,,,No,Full Bar,,No,,No,,,,No,No,Street,Yes,,No,Yes,,Yes,,No,,Yes,Classy,Dressy,,,No,No,Dinner,,Average,,,Above $61,A,4.5,921,https://www.yelp.com/biz/blue-hill-new-york?start=0
50057029,Yes,,,No,Full Bar,,No,,No,,,,No,No,Street,No,,No,Yes,,Yes,Yes,No,,Yes,"Trendy, Classy",Casual,,,Yes,No,Dinner,,Average,,,$31-60,A,4.5,275,https://www.yelp.com/biz/loring-place-new-york-2?start=0
50018895,No,,,No,No,,Yes,,Yes,,,,Yes,Yes,Street,Yes,,Yes,No,No,,,No,,Yes,Casual,,,,Yes,Yes,"Lunch, Dinner",,Average,,,$11-30,A,4,491,https://www.yelp.com/biz/juniper-brooklyn-2?start=0
40674838,Yes,,,Yes,Full Bar,,Yes,,Yes,,,,Yes,No,Street,Yes,,Yes,Yes,,,,Free,,Yes,Casual,,,,Yes,Yes,Dinner,,Average,,,$11-30,A,2.5,213,https://www.yelp.com/biz/uno-pizzeria-and-grill-new-york-3?start=0
50008145,Yes,No,,No,Beer & Wine Only,,Yes,,Yes,No,,Yes,No,Yes,"Garage, Street",Yes,,Yes,Yes,,No,Yes,No,,Yes,Casual,Casual,,,Yes,Yes,"Lunch, Dinner",,Average,,,$11-30,A,4,378,https://www.yelp.com/biz/mighty-quinns-barbeque-new-york-5?start=0
41296528,Yes,,,No,Full Bar,,,,,,,,Yes,Yes,Street,Yes,,,Yes,,,,,,,Trendy,,,,Yes,,,,Loud,,No,Moderate,A,2.5,39,https://www.yelp.com/biz/evolve-new-york-2?start=0
50045771,Yes,,,,Full Bar,,,Yes,,,,Yes,Yes,No,,Yes,,,Yes,,,Yes,Free,,,"Trendy, Classy, Upscale",,"Thu, Fri, Sat",Yes,Yes,,,DJ,Average,,No,Pricey,A,4.5,62,https://www.yelp.com/biz/ascent-lounge-new-york-5?start=0
50001786,Yes,,,No,Full Bar,,No,,No,,,,No,Yes,,Yes,,Yes,No,,,,No,,,,,,,Yes,Yes,,,Average,,,$11-30,A,3.5,27,https://www.yelp.com/biz/dags-patio-cafe-new-york?start=0
41639734,Yes,,,No,Full Bar,,Yes,Yes,No,,,Yes,No,No,Street,No,,Yes,Yes,,Yes,,No,,Yes,Classy,Dressy,"Thu, Fri, Sat",No,Yes,No,Dinner,Background,Average,,,$31-60,B,4,745,https://www.yelp.com/biz/vitae-new-york?start=0
40750263,Yes,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,32,https://www.yelp.com/biz/obsessive-cleaning-new-york-6?start=0
40401934,Yes,No,,No,Full Bar,,No,,Yes,,,,Yes,No,Street,Yes,,Yes,Yes,,,,Free,,Yes,Touristy,,,,Yes,Yes,Lunch,,Average,,,$11-30,A,3,754,https://www.yelp.com/biz/brooklyn-diner-new-york?start=0
50048795,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,A,2.5,15,https://www.yelp.com/biz/mezze-cafe-and-bar-new-york?start=0
50011891,Yes,No,,No,No,,No,,Yes,No,,No,No,No,Street,Yes,,Yes,No,,Yes,Yes,No,,Yes,"Hipster, Casual, Trendy",Casual,,,Yes,Yes,"Breakfast, Brunch",,Average,,,$11-30,A,3.5,583,https://www.yelp.com/biz/two-hands-new-york-3?start=0
41637054,Yes,,,No,Beer & Wine Only,,No,,Yes,,,,Yes,No,Street,Yes,,Yes,No,,,,No,,,Casual,,,,Yes,Yes,"Breakfast, Late Night",,Average,,,$11-30,A,2.5,181,https://www.yelp.com/biz/orion-diner-and-grill-new-york-2?start=0
41475992,Yes,,,No,Full Bar,,Yes,,Yes,,,,Yes,Yes,Street,Yes,,Yes,Yes,,,Yes,Free,,,Casual,Casual,,,Yes,No,Brunch,,Average,,,$11-30,A,3.5,556,https://www.yelp.com/biz/the-crooked-knife-new-york-3?start=0
50060811,Yes,,,,Beer & Wine Only,,No,,Yes,,,No,No,No,Street,No,,Yes,No,No,No,,No,,,Casual,,,,Yes,Yes,"Lunch, Dinner",,Average,,,Under $10,A,3.5,115,https://www.yelp.com/biz/pasta-flyer-new-york?start=0
41679739,Yes,,,No,No,,Yes,,Yes,,,,No,No,,Yes,,Yes,No,,,,No,,,Casual,,,,No,Yes,,,Average,,,$11-30,A,2.5,77,https://www.yelp.com/biz/frame-gourmet-eatery-new-york?start=0
41676090,Yes,No,,Yes,,,,,,,,,,,,,,,,,,,Free,,,,,,,,,,,,,,Moderate,A,3.5,56,https://www.yelp.com/biz/hampton-inn-manhattan-35th-st-empire-state-bldg-new-york?start=0
40943583,Yes,,,,Full Bar,,No,,Yes,,,Yes,Yes,No,Street,No,,Yes,No,,,,Free,,,Casual,Casual,"Thu, Fri, Sat",,Yes,No,Dinner,,Average,,No,$11-30,A,3.5,113,https://www.yelp.com/biz/the-press-box-new-york?start=0
41694146,Yes,No,,No,Beer & Wine Only,,Yes,,Yes,,,,No,No,Street,Yes,,Yes,No,,,,Free,,Yes,Casual,,,,Yes,Yes,"Lunch, Dinner",,Average,,,$11-30,A,3.5,813,https://www.yelp.com/biz/hu-kitchen-new-york?start=0
41659498,Yes,,,,Full Bar,,Yes,,No,,,,No,Yes,Valet,Yes,,No,Yes,,No,Yes,No,,,"Romantic, Upscale",Dressy,,,Yes,Yes,,,Average,,,$31-60,A,3.5,79,https://www.yelp.com/biz/world-yacht-new-york?start=0
40372466,Yes,No,,No,No,,Yes,,No,,,,No,No,"Valet, Street",No,,No,Yes,,,,Free,,,,Casual,,,Yes,Yes,"Breakfast, Lunch",,Quiet,,,$11-30,C,2,17,https://www.yelp.com/biz/murals-on-54-new-york-2?start=0
50017497,Yes,No,,,Full Bar,,Yes,,,,,,,,Street,Yes,,Yes,No,,,Yes,,,,,,,,No,,,,Quiet,,,$11-30,B,3.5,13,https://www.yelp.com/biz/heermance-farm-purveyors-new-york-2?start=0
50064551,Yes,,,,Full Bar,,,,No,,,No,No,Yes,Street,No,,No,No,,Yes,Yes,Free,,,"Trendy, Romantic, Classy, Upscale",Casual,,Yes,Yes,No,,,Average,,,$11-30,A,3.5,107,https://www.yelp.com/biz/the-crown-new-york-2?start=0
40932307,Yes,,,No,Full Bar,,Yes,,Yes,,,,Yes,Yes,Street,Yes,,Yes,Yes,,,,Free,,,Casual,Casual,"Thu, Fri, Sat",Yes,Yes,No,Late Night,,Loud,,Yes,$11-30,A,3,353,https://www.yelp.com/biz/fiddlesticks-pub-new-york?start=0
41639573,Yes,,,No,Full Bar,,Yes,,Yes,,,Yes,Yes,Yes,Street,Yes,,Yes,Yes,,Yes,Yes,Free,,Yes,"Casual, Trendy",Casual,"Thu, Fri, Sat",No,Yes,Yes,Late Night,,Average,,No,$11-30,A,3,872,https://www.yelp.com/biz/corner-social-new-york-2?start=0
41670066,Yes,,,No,No,,Yes,,No,,,,Yes,No,,Yes,,Yes,No,No,No,,Free,,Yes,Casual,,,,Yes,Yes,,,Loud,,,$11-30,,5,4,https://www.yelp.com/biz/jjs-place-new-york?start=0
50011049,No,No,,No,No,,Yes,,Yes,No,,,Yes,No,Garage,Yes,,Yes,No,,No,Yes,No,,,Casual,,,,No,Yes,"Lunch, Dinner, Late Night, Dessert",,Average,,,$11-30,,3.5,173,https://www.yelp.com/biz/lighthouse-fish-market-and-restaurant-new-york-6?start=0
40958613,Yes,,,Yes,Full Bar,,No,,Yes,,,,No,No,Street,Yes,,Yes,No,,Yes,,No,,,Casual,,,,Yes,Yes,"Breakfast, Brunch, Lunch, Late Night",,Average,,,$11-30,A,3,242,https://www.yelp.com/biz/city-diner-new-york-2?start=0
50014229,Yes,,,,Full Bar,,,Yes,No,,,Yes,Yes,No,Street,Yes,,No,Yes,,Yes,,Free,,,"Casual, Trendy, Classy",Casual,"Thu, Fri, Sat",No,Yes,No,"Lunch, Dinner",,Very Loud,,No,$11-30,C,3,136,https://www.yelp.com/biz/the-ainsworth-midtown-new-york?start=0
50038846,Yes,No,,No,Full Bar,,,,,,,,Yes,No,Street,Yes,,,Yes,,,,Free,,Yes,Casual,,"Fri, Sat, Sun",No,Yes,No,,,Average,,No,Moderate,,3,306,https://www.yelp.com/biz/stand-up-ny-new-york?start=0
40835721,Yes,,,Yes,,,No,,,,,,,,Street,No,,Yes,,,,,,,Yes,,,,,,,,,,,,Moderate,A,3.5,503,https://www.yelp.com/biz/irving-farm-new-york-new-york-9?start=0
50016770,Yes,No,,No,Full Bar,,Yes,No,Yes,,,Yes,Yes,Yes,Street,Yes,,Yes,Yes,,Yes,Yes,Free,,Yes,Casual,Casual,"Thu, Fri, Sat",No,Yes,No,"Brunch, Dinner",,Average,,No,$11-30,A,4,350,https://www.yelp.com/biz/the-milton-new-york?start=0
40535399,Yes,,,No,Full Bar,,,,,,,,No,No,Street,Yes,,,No,,,,No,,,Casual,,,Yes,Yes,,,DJ,Average,,,Moderate,B,3.5,317,https://www.yelp.com/biz/von-new-york?start=0
41073985,Yes,,,Yes,Full Bar,,Yes,,No,,,,Yes,No,Street,Yes,,Yes,Yes,,,,Free,,Yes,Casual,Casual,"Mon, Tue, Fri",,Yes,Yes,"Lunch, Dinner",,Average,,No,$11-30,A,3,282,https://www.yelp.com/biz/heartland-brewery-new-york-22?start=0
41721324,Yes,,,Yes,,,No,,,Yes,,,,No,,No,,Yes,,,,,Free,,Yes,,,,,,Yes,,,,,,Moderate,A,3,49,https://www.yelp.com/biz/starbucks-new-york-268?start=0
41701052,Yes,,,Yes,No,,Yes,,Yes,,,,Yes,No,Street,Yes,,Yes,No,,,,Free,,,Casual,,,,No,Yes,"Breakfast, Lunch",,Average,,,$11-30,A,3,75,https://www.yelp.com/biz/green-cafe-new-york-12?start=0
50002019,Yes,No,,No,Beer & Wine Only,,Yes,,Yes,,,Yes,Yes,No,"Garage, Street",Yes,,Yes,Yes,,,,Free,,Yes,Casual,Casual,,,Yes,Yes,Brunch,,Average,,,$11-30,A,4,371,https://www.yelp.com/biz/home-sweet-harlem-new-york?start=0
41225392,Yes,,,Yes,Full Bar,,,,,,,Yes,Yes,No,Street,Yes,,,No,,,,Free,,Yes,Casual,,"Mon, Fri, Sat",,Yes,,,,Average,,No,Moderate,A,3.5,151,https://www.yelp.com/biz/bayards-ale-house-new-york?start=0
40379304,Yes,,,Yes,Full Bar,,No,Yes,No,,,No,No,No,"Garage, Street",No,,No,Yes,,,,Free,,,"Classy, Upscale",Dressy,"Thu, Fri, Sat",No,Yes,No,Dinner,,Average,,No,Above $61,A,4.5,1488,https://www.yelp.com/biz/gotham-bar-and-grill-new-york?start=0
50000726,Yes,,,No,Full Bar,,Yes,,Yes,No,,Yes,Yes,No,Garage,Yes,,Yes,Yes,,,Yes,Free,,,Casual,Casual,"Fri, Sat, Sun",,Yes,Yes,"Lunch, Dinner",,Average,,No,$11-30,A,3.5,450,https://www.yelp.com/biz/bills-bar-and-burger-downtown-new-york?start=0
40610554,Yes,,,No,Full Bar,,Yes,,No,,,,No,Yes,Street,Yes,,No,Yes,,,,Free,,Yes,Trendy,Casual,"Thu, Fri, Sat",No,Yes,No,Late Night,Background,Average,,No,$11-30,A,4,380,https://www.yelp.com/biz/the-summit-bar-new-york?start=0
50070060,Yes,,,No,Full Bar,,,No,,,,Yes,No,No,Street,Yes,,,No,,,,Free,,Yes,Divey,,"Thu, Fri, Sat",Yes,Yes,,,DJ,Loud,,No,Moderate,A,3,508,https://www.yelp.com/biz/beauty-bar-new-york?start=0
41040365,Yes,,,No,Full Bar,,No,,No,,,,Yes,No,Street,No,,Yes,No,No,Yes,,No,,,Casual,Casual,,,Yes,No,Lunch,,Average,,,$11-30,A,3.5,340,https://www.yelp.com/biz/fanellis-cafe-new-york?start=0
41298603,Yes,No,,No,Full Bar,,Yes,No,Yes,,,Yes,No,No,Street,Yes,,Yes,Yes,,,,Free,,Yes,Trendy,Casual,,No,Yes,No,"Brunch, Dinner",,Loud,,,$11-30,A,3.5,1819,https://www.yelp.com/biz/the-smith-new-york?start=0
41660537,No,,,No,,,No,,No,,,,Yes,No,Valet,Yes,,No,No,,,,Free,,,"Divey, Casual",,,,Yes,No,Late Night,"Live, Juke Box",Average,,Yes,Under $10,A,4,96,https://www.yelp.com/biz/american-trash-new-york-2?start=0
40400185,Yes,,,,No,,No,,No,,,,No,No,Street,No,,Yes,No,,,,No,,,Casual,,,,No,Yes,Lunch,,Average,,,$11-30,,3,54,https://www.yelp.com/biz/cafe-beyond-new-york?start=0
50073183,Yes,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,A,,2,https://www.yelp.com/biz/eat-club-new-york?start=0
41464542,Yes,,,No,Full Bar,,No,,No,,,,No,No,Street,Yes,,Yes,No,,,,Free,,Yes,Casual,Casual,,,Yes,Yes,Brunch,,Average,,,$11-30,A,4,557,https://www.yelp.com/biz/the-bluebell-cafe-new-york?start=0
40513609,Yes,,,No,Beer & Wine Only,,No,,Yes,,,,Yes,No,Street,Yes,,Yes,No,,Yes,,No,,,Casual,,,,Yes,Yes,"Breakfast, Brunch, Lunch",,Average,,,$11-30,A,3,461,https://www.yelp.com/biz/skylight-diner-new-york?start=0
41087519,Yes,No,,No,Full Bar,,Yes,,Yes,,,,Yes,Yes,Street,No,,Yes,,,,,Free,,,Casual,Casual,"Thu, Fri, Sat",No,Yes,No,"Brunch, Lunch, Late Night",,Loud,,No,$11-30,A,3,324,https://www.yelp.com/biz/redemption-nyc-new-york?start=0
50056916,Yes,,,No,Full Bar,,No,,Yes,,,Yes,Yes,No,Street,Yes,,Yes,No,,,,Free,,Yes,Casual,,,,Yes,No,"Lunch, Dinner, Late Night",,Average,,,$11-30,A,4,380,https://www.yelp.com/biz/shortys-new-york-2?start=0
41213441,Yes,No,,No,Beer & Wine Only,,No,,No,No,,,No,No,Street,Yes,,Yes,No,No,No,No,No,,,Casual,Casual,,,No,No,"Lunch, Dinner",,Average,,,Under $10,A,4,1529,https://www.yelp.com/biz/xian-famous-foods-new-york-3?start=0
41390998,Yes,,,No,Beer & Wine Only,,Yes,,Yes,,,,No,No,Street,Yes,,Yes,No,,,,Free,,,Casual,,,,Yes,Yes,Lunch,,Loud,,,$11-30,,2.5,137,https://www.yelp.com/biz/cafe-olympia-new-york?start=0
41304210,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,No,,,,,,,A,3,9,https://www.yelp.com/biz/tompkins-square-bar-manhattan?start=0
41477483,Yes,,,,,,,,,,,,,,,,,,,,,,Free,,,,,,,,,,,,,,Moderate,A,3.5,48,https://www.yelp.com/biz/holiday-inn-express-manhattan-midtown-west-new-york-2?start=0
41363774,Yes,,,No,Full Bar,,No,,No,No,,,Yes,No,Street,No,,Yes,Yes,,,,Free,,Yes,Casual,Casual,"Thu, Fri, Sat",,Yes,No,"Dinner, Late Night",,Loud,,No,$11-30,A,4,681,https://www.yelp.com/biz/rattle-and-hum-new-york?start=0
41469754,No,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,32,https://www.yelp.com/biz/exchange-place-jersey-city?start=0
41614537,No,,,No,Full Bar,,,,,,,Yes,Yes,No,Street,No,,,No,,,,No,,Yes,Casual,,"Thu, Fri, Sat",Yes,Yes,,,Juke Box,Average,,No,Moderate,A,4,168,https://www.yelp.com/biz/flaming-saddles-saloon-new-york?start=0
50041646,Yes,,,,,,No,,Yes,,,,,,,,,Yes,No,,,,No,,,,,,,No,No,,,,,,,,3,5,https://www.yelp.com/biz/highline-deli-new-york?start=0
40394566,Yes,,,No,Full Bar,,Yes,,No,,,,No,No,Garage,Yes,,No,Yes,,Yes,Yes,Free,,,Classy,Dressy,,,Yes,No,"Lunch, Dinner",,Quiet,,,$31-60,A,3.5,60,https://www.yelp.com/biz/the-dining-room-at-the-met-new-york?start=0
50075788,Yes,,,No,Full Bar,,Yes,,Yes,,,,Yes,No,Street,Yes,,Yes,No,,,,Free,,Yes,Casual,Casual,"Tue, Thu, Fri",No,Yes,No,"Dinner, Late Night",Juke Box,Average,,No,Under $10,B,3.5,237,https://www.yelp.com/biz/flight-151-new-york?start=0
41326189,Yes,,,No,Full Bar,,Yes,,Yes,,,,Yes,Yes,Street,Yes,,Yes,Yes,,,,Free,,,Casual,Casual,"Thu, Fri, Sat",No,Yes,No,"Lunch, Dinner, Late Night",,Average,,No,$11-30,C,3.5,135,https://www.yelp.com/biz/st-james-gate-new-york?start=0
50011679,Yes,,,No,Full Bar,,Yes,,Yes,,,,No,Yes,Street,Yes,,Yes,Yes,,Yes,Yes,No,,Yes,Casual,Casual,,,Yes,No,Brunch,,Average,,,$11-30,A,4,1417,https://www.yelp.com/biz/root-and-bone-new-york?start=0
41016585,Yes,,,No,Full Bar,,No,Yes,No,,,Yes,Yes,No,,No,,No,Yes,,Yes,Yes,Free,,Yes,Upscale,Dressy,,,No,No,Dinner,,Quiet,,No,Above $61,,2.5,60,https://www.yelp.com/biz/the-london-bar-new-york-2?start=0
50044619,Yes,,,No,,,No,,,,,,,,Private Lot,No,,No,,,,,,,,,,,,,,,,,,,Inexpensive,,4,24,https://www.yelp.com/biz/garden-farmers-market-belleville?start=0
50002271,Yes,,,,Full Bar,,,,No,,,No,No,No,Street,No,,Yes,Yes,,Yes,,,,,Romantic,Casual,,,Yes,No,Dinner,,Average,,,$11-30,A,3,81,https://www.yelp.com/biz/margaux-new-york?start=0
41428049,Yes,,,,Full Bar,,,,,No,,,Yes,No,"Garage, Street",No,,,Yes,,,,No,,,Casual,,,,Yes,,,,Average,,No,Moderate,A,3.5,93,https://www.yelp.com/biz/the-archive-new-york?start=0
50035787,Yes,,,No,,,,,,,,,,,Street,No,,,,,,,,,Yes,,,,,,,,,,,,Moderate,A,4.5,596,https://www.yelp.com/biz/kinokuniya-new-york-new-york-2?start=0
41348712,Yes,,,,Full Bar,,No,,No,,,,Yes,Yes,,No,,No,Yes,,,,Free,,,Casual,Dressy,,,Yes,No,"Lunch, Dinner",,Average,,,Above $61,,4.5,32,https://www.yelp.com/biz/core-club-new-york?start=0
50067589,Yes,,,,No,,Yes,,Yes,,,,No,No,Street,Yes,,Yes,No,,No,,Free,,,"Hipster, Casual, Trendy",Casual,,,Yes,Yes,Lunch,,Average,,,$11-30,B,4,81,https://www.yelp.com/biz/local-leaf-new-york?start=0
41503751,Yes,,,No,Full Bar,,,,,,,,No,No,Street,Yes,,,Yes,,,,No,,Yes,Trendy,,"Thu, Fri, Sat",No,Yes,,,,Loud,,No,Pricey,A,4,2741,https://www.yelp.com/biz/the-stanton-social-new-york?start=0
40603807,Yes,,,No,Full Bar,,No,,No,,,,Yes,Yes,Street,Yes,,Yes,Yes,,,,No,,Yes,,Casual,,Yes,Yes,No,Late Night,,Very Loud,,No,$11-30,A,3,357,https://www.yelp.com/biz/joshua-tree-new-york?start=0
41025084,Yes,,,No,Full Bar,,,,,,,,Yes,Yes,Street,Yes,,,No,,,,No,,,Casual,,"Thu, Fri, Sat",Yes,Yes,,,,Loud,,No,Moderate,A,3,758,https://www.yelp.com/biz/brass-monkey-new-york?start=0
40368374,Yes,,,No,Full Bar,,,No,,,,Yes,Yes,No,Street,Yes,,,No,,,,No,,,Divey,,"Tue, Fri, Sat",No,No,,,Juke Box,Average,,No,Inexpensive,B,4,539,https://www.yelp.com/biz/jimmys-corner-new-york?start=0
40572098,Yes,No,,,Full Bar,,,,,,,,Yes,No,Street,Yes,,,No,,,,Free,,,"Divey, Casual",,"Thu, Fri, Sat",,Yes,,,,Average,,No,Moderate,A,3.5,228,https://www.yelp.com/biz/the-spring-lounge-new-york?start=0
40709138,Yes,,,No,Full Bar,,Yes,,Yes,,,Yes,Yes,Yes,Street,Yes,,Yes,Yes,,,,Free,,Yes,Trendy,Casual,,,Yes,No,Dinner,,Average,,,$11-30,A,3.5,845,https://www.yelp.com/biz/thalia-new-york?start=0
41721343,No,,,No,,,No,,,,,,,No,Street,Yes,,Yes,,,,,No,,,,,,,,,,,,,,Inexpensive,A,5,38,https://www.yelp.com/biz/classic-coffee-shop-new-york?start=0
41378319,Yes,,,No,Full Bar,,No,,,,,,No,No,,No,,,Yes,,,,No,,Yes,Trendy,Dressy,,,Yes,No,Dinner,,Average,,,$31-60,A,4.5,1592,https://www.yelp.com/biz/l-artusi-new-york?start=0
40638792,Yes,,,No,Full Bar,,No,Yes,No,,,No,No,No,Street,No,,No,Yes,,,,No,,,Trendy,Casual,,No,Yes,No,Dinner,,Average,,,$31-60,A,3.5,1472,https://www.yelp.com/biz/the-mercer-kitchen-new-york-6?start=0
41068920,Yes,,,No,Full Bar,,Yes,,Yes,,,,Yes,No,Street,Yes,,Yes,Yes,,,,Free,,Yes,"Divey, Casual",Casual,"Thu, Fri, Sat",Yes,Yes,No,"Brunch, Late Night",DJ,Average,,Yes,$11-30,A,3.5,217,https://www.yelp.com/biz/the-skinny-bar-and-lounge-new-york?start=0
50084314,Yes,,,,No,,Yes,,Yes,,,,No,No,,Yes,,Yes,No,,No,,Free,,Yes,Casual,,,,Yes,Yes,"Breakfast, Lunch",,Loud,,,$11-30,,3,77,https://www.yelp.com/biz/fresh-and-co-new-york-30?start=0
41664437,Yes,,,No,Beer & Wine Only,,No,,Yes,,,,Yes,No,Street,No,,Yes,Yes,,,,Free,,,Casual,Casual,"Fri, Sat, Sun",No,Yes,Yes,"Brunch, Lunch, Dinner",,Average,,,$11-30,A,3.5,407,https://www.yelp.com/biz/bocado-cafe-new-york?start=0
40736836,Yes,,,,Beer & Wine Only,,Yes,,Yes,,,,,No,,No,,Yes,Yes,,Yes,,,,,,Casual,,,Yes,Yes,,,Average,,,$11-30,,3.5,12,https://www.yelp.com/biz/silver-star-resturant-new-york?start=0
50065904,Yes,,,No,Full Bar,,Yes,,Yes,,,,Yes,No,Street,Yes,,Yes,Yes,,,,Free,,,"Divey, Casual",Casual,"Tue, Wed, Sat",No,Yes,No,Late Night,Juke Box,Average,,Yes,$11-30,B,3,178,https://www.yelp.com/biz/barrow-street-ale-house-new-york?start=0
50072395,Yes,,,No,No,,Yes,,Yes,,,,No,No,,Yes,,Yes,No,,,,No,,,Casual,,,,No,Yes,"Breakfast, Lunch",,Average,,,Under $10,A,2.5,67,https://www.yelp.com/biz/rockwells-new-york?start=0
40365871,Yes,,,,Full Bar,,No,,Yes,,,No,No,No,Street,No,,Yes,Yes,,,,Free,,,Classy,Dressy,,,Yes,No,,,Average,,No,$11-30,A,4,71,https://www.yelp.com/biz/nearys-new-york?start=0
41462348,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,https://www.yelp.com/biz/benvenuto-cafe-new-york-4?start=0
40937349,Yes,,,,Full Bar,,,,No,,,Yes,Yes,No,Street,Yes,,Yes,No,,,,No,,,Casual,Casual,,,Yes,No,,,Average,,,$11-30,A,2.5,93,https://www.yelp.com/biz/jakes-saloon-new-york?start=0
50038560,Yes,,,Yes,No,,Yes,,Yes,,,,Yes,No,,Yes,,Yes,No,No,Yes,,No,,,,,,,Yes,Yes,"Dinner, Late Night",,Average,,,$11-30,B,3,65,https://www.yelp.com/biz/chirping-chicken-new-york-10?start=0
50044902,Yes,,,No,Full Bar,,No,No,No,,,Yes,Yes,No,Street,Yes,,Yes,No,,Yes,Yes,Free,,Yes,"Casual, Trendy",Casual,"Fri, Sat, Sun",No,Yes,No,Dinner,,Average,,,$11-30,A,4.5,176,https://www.yelp.com/biz/hogshead-tavern-new-york-2?start=0
