,DBA,fetched_restaurant,similarity_index,sentiment_score,accepts credit cards,accepts bitcoin,accepts insurance,accepts apple pay,alcohol,by appointment only,caters,coat check,delivery,dogs allowed,hair types specialized in,happy hour,has tv,outdoor seating,parking,bike parking,smoking allowed,take-out,takes reservations,drive-thru,waiter service,wheelchair accessible,wi-fi,opened 24hrs,gender neutral restrooms,ambience,attire,best nights,good for dancing,good for groups,good for kids,good for,music,noise level,price range,has pool table,price_range,health_score,overall_rating,overall_reviews,restaurant_link,violation_score
40387986,LENOX HILL GRILL/PIZZA,Cafe Fiorello,34.0,0.6955734999999998,Yes,,,Yes,Full Bar,,No,,Yes,,,,No,Yes,Street,No,,Yes,Yes,,Yes,,Free,,,,Casual,,,Yes,No,Dinner,,Average,,,$31-60,A,3.5,673.0,https://www.yelp.com/biz/cafe-fiorello-new-york?start=0,15.2
40387990,T.G.I. FRIDAY'S,TGI Fridays,85.0,-0.114724,Yes,,,No,Full Bar,,No,,No,,,Yes,Yes,No,Street,Yes,,Yes,No,,,,No,,,Casual,Casual,,,Yes,Yes,"Lunch, Dinner",,Average,,,$11-30,,1.5,231.0,https://www.yelp.com/biz/tgi-fridays-new-york-8?start=0,10.25
40388218,WALKER'S RESTAURANT,Walker’s,52.0,0.7413500000000001,Yes,,,No,Full Bar,,No,No,Yes,,,Yes,Yes,Yes,Street,Yes,,Yes,Yes,,,,No,,,Casual,,,No,Yes,Yes,Dinner,,Average,,No,$11-30,A,4.0,276.0,https://www.yelp.com/biz/walkers-new-york-2?start=0,7.5
40388578,DIVE BAR,Dive Bar,100.0,0.79132,Yes,,,No,Full Bar,,No,,No,,,,Yes,Yes,Street,Yes,,Yes,No,,,,Free,,,Divey,Casual,"Thu, Fri, Sat",No,Yes,No,Late Night,Juke Box,Average,,No,$11-30,A,4.0,420.0,https://www.yelp.com/biz/dive-bar-new-york-2?start=0,12.0
40391060,LUKE'S BAR & GRILL,Luke’s Bar and Grill,84.0,0.596415702479339,Yes,,,No,Full Bar,,Yes,,Yes,,,,Yes,Yes,Street,Yes,,Yes,Yes,,,,Free,,Yes,Casual,Casual,"Fri, Sat, Sun",,Yes,Yes,"Lunch, Dinner",,Average,,No,$11-30,A,3.0,121.0,https://www.yelp.com/biz/lukes-bar-and-grill-new-york-2?start=0,14.0
40391979,SUTTON CAFE RESTAURANT,Madison Restaurant,70.0,0.5731195000000001,Yes,,,No,Full Bar,,No,,Yes,,,,Yes,No,Street,Yes,,Yes,No,,,,No,,,Casual,,,,Yes,Yes,"Breakfast, Brunch",,Average,,,$11-30,A,3.5,321.0,https://www.yelp.com/biz/madison-restaurant-new-york-2?start=0,13.5
40392668,LUCYS,Lucy’s,91.0,0.6119937500000001,No,,,,Full Bar,,,No,,,,Yes,Yes,No,Street,Yes,,,No,,,,No,,,Divey,,"Wed, Thu, Sat",,Yes,,,Juke Box,Average,,Yes,Inexpensive,,3.5,80.0,https://www.yelp.com/biz/lucys-new-york?start=0,7.666666666666667
40393558,FITZGERALD'S PUB,Fitzgerald’s Pub,94.0,0.6617917525773196,Yes,,,No,Full Bar,,,No,,,,Yes,Yes,No,Street,Yes,,,No,,,Yes,No,,,Casual,,,No,Yes,,,Juke Box,Average,,No,Moderate,A,3.5,98.0,https://www.yelp.com/biz/fitzgeralds-pub-new-york?start=0,12.666666666666666
40393725,TRIBECA GRILL,Tribeca Grill,100.0,0.7052655000000001,Yes,,,,Full Bar,,Yes,,Yes,,,Yes,No,Yes,Street,Yes,,Yes,Yes,,,,Free,,,Upscale,Dressy,,,Yes,No,Dinner,Background,Average,,,$31-60,A,3.5,571.0,https://www.yelp.com/biz/tribeca-grill-new-york-2?start=0,11.75
40394007,NIAGARA/ LOVERS OF TODAY/ SISTER MIDNIGHT,Lovers of Today,54.0,0.753391,Yes,,,No,Full Bar,,,,,,,Yes,No,No,Street,Yes,,,No,,,,No,,Yes,Intimate,,"Thu, Fri, Sat",No,No,,,,Average,,No,Moderate,A,4.0,229.0,https://www.yelp.com/biz/lovers-of-today-new-york?start=0,13.0
40394566,MEMBERS DINING ROOM @ THE MET MUSEUM,The Dining Room at The Met,71.0,0.7628010000000001,Yes,,,No,Full Bar,,Yes,,No,,,,No,No,Garage,Yes,,No,Yes,,Yes,Yes,Free,,,Classy,Dressy,,,Yes,No,"Lunch, Dinner",,Quiet,,,$31-60,A,3.5,60.0,https://www.yelp.com/biz/the-dining-room-at-the-met-new-york?start=0,10.25
40395093,COYOTE UGLY,Coyote Ugly,100.0,0.36269399999999996,Yes,,,No,Full Bar,,,,,,,Yes,Yes,No,Street,Yes,,,No,,,,No,,,Divey,,"Thu, Fri, Sat",,Yes,,,Juke Box,Very Loud,,No,Inexpensive,A,2.5,210.0,https://www.yelp.com/biz/coyote-ugly-new-york?start=0,22.75
