,DBA,fetched_restaurant,similarity_index,sentiment_score,accepts credit cards,accepts bitcoin,accepts insurance,accepts apple pay,alcohol,by appointment only,caters,coat check,delivery,dogs allowed,hair types specialized in,happy hour,has tv,outdoor seating,parking,bike parking,smoking allowed,take-out,takes reservations,drive-thru,waiter service,wheelchair accessible,wi-fi,opened 24hrs,gender neutral restrooms,ambience,attire,best nights,good for dancing,good for groups,good for kids,good for,music,noise level,price range,has pool table,price_range,health_score,overall_rating,overall_reviews,restaurant_link,violation_score
41553930,CITY WINERY,City Winery,100.0,0.684179,Yes,,,No,Full Bar,,Yes,,No,,,,No,Yes,Street,No,,No,Yes,,,,Free,,Yes,Classy,Casual,"Thu, Fri, Sat",No,Yes,No,,Live,Average,,,$11-30,B,3.5,611.0,https://www.yelp.com/biz/city-winery-new-york?start=0,25.0
41554670,MORGAN STANLEY EMPLOYEE CAFETERIA,NewYork Presbyterian/Weill Cornell Medical Center,44.0,0.1899505,Yes,,Yes,,,Yes,,,,,,,,,,,,,,,,,Free,,Yes,,,,,,,,,,,,,,3.0,235.0,https://www.yelp.com/biz/newyork-presbyterian-weill-cornell-medical-center-new-york?start=0,6.666666666666667
41555214,FEDORA,Fedora,100.0,0.7961830000000001,Yes,,,No,Full Bar,,No,No,No,No,,No,No,No,Street,Yes,,No,Yes,,Yes,No,Free,,Yes,,Casual,,,No,No,Dinner,Background,Loud,,No,$31-60,A,4.0,330.0,https://www.yelp.com/biz/fedora-new-york-2?start=0,21.0
41556790,FIVE GUYS FAMOUS BURGERS AND FRIES,Mel’s Burger Bar,48.0,0.6110485,Yes,,,Yes,Full Bar,,No,,Yes,,,,Yes,Yes,Street,Yes,,Yes,Yes,,Yes,,No,,Yes,Casual,Casual,,,Yes,Yes,"Lunch, Dinner",,Loud,,,$11-30,A,3.5,668.0,https://www.yelp.com/biz/mels-burger-bar-new-york?start=0,7.75
41557498,ARTIFAKT BAR,Artifakt Bar & Lounge,73.0,0.8316000000000001,Yes,,,,Full Bar,,,,,,,,No,No,,Yes,,,No,,,,Free,,,,,,Yes,Yes,,,,Quiet,,,Moderate,A,5.0,10.0,https://www.yelp.com/biz/artifakt-bar-and-lounge-new-york?start=0,11.666666666666666
41559999,DARKHORSE,Dark Horse,95.0,0.8134145,Yes,,,No,Full Bar,,No,,Yes,,,Yes,Yes,No,"Garage, Street",Yes,,Yes,Yes,,,,Free,,,Casual,Casual,"Thu, Fri, Sat",,Yes,No,"Dinner, Late Night",,Average,,No,$11-30,A,4.0,378.0,https://www.yelp.com/biz/dark-horse-new-york?start=0,22.666666666666668
41563445,GMT TAVERN,GMT Tavern,100.0,0.7312664948453609,Yes,No,,Yes,Full Bar,,Yes,Yes,No,Yes,,Yes,Yes,Yes,"Garage, Street",Yes,,Yes,Yes,,Yes,Yes,Free,,,Casual,Casual,"Thu, Fri, Sat",,Yes,No,"Dinner, Late Night",,Average,,No,$11-30,A,3.5,195.0,https://www.yelp.com/biz/gmt-tavern-new-york?start=0,14.5
41564700,SARABETH'S,Sarabeth’s,90.0,0.6677105,Yes,,,Yes,Full Bar,,Yes,,Yes,,,,No,No,Street,Yes,,Yes,Yes,,Yes,,No,,,,Casual,,,Yes,Yes,"Breakfast, Brunch, Lunch",,Average,,,$11-30,A,3.0,551.0,https://www.yelp.com/biz/sarabeths-new-york-5?start=0,15.6
41564945,RADIO CITY MUSIC HALL,Radio City Music Hall,100.0,0.6704795180722892,Yes,,,Yes,,Yes,,,,,,,,,,,,,,,,,Free,,,,,,,,,,,,,,,A,4.0,84.0,https://www.yelp.com/biz/radio-city-music-hall-new-york-5?start=0,1.3333333333333333
41566261,BAR CENTRALE,Bar Centrale,100.0,0.6724763513513515,Yes,,,,Full Bar,,,Yes,,,,No,No,No,Street,No,,,Yes,,,,,,,"Intimate, Classy",,,No,No,,,Background,Quiet,,No,Pricey,A,3.5,148.0,https://www.yelp.com/biz/bar-centrale-new-york?start=0,9.0
41566492,AU BON PAIN,Au Bon Pain,100.0,0.29569375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75
41567540,WIMPY'S RESTAURANT 5,Wimpy’s I,48.0,0.09831739130434781,No,,,,No,,,,Yes,,,,Yes,No,Street,,,Yes,No,,,,No,,,"Divey, Casual",Casual,,,No,Yes,,,Average,,,Under $10,A,3.0,24.0,https://www.yelp.com/biz/wimpys-i-new-york?start=0,13.75
41568332,THE DUCK,The Duck,100.0,0.5996139784946236,No,,,No,Full Bar,,,,,,,Yes,Yes,No,Street,Yes,,,No,,,,No,,Yes,Divey,,"Thu, Fri, Sat",,Yes,,,,Average,,Yes,Inexpensive,B,3.5,93.0,https://www.yelp.com/biz/the-duck-new-york?start=0,23.25
41569979,SHAKE SHACK,Shake Shack,100.0,0.7139775,Yes,No,,No,Beer & Wine Only,,No,,No,,,,Yes,Yes,Street,Yes,,Yes,No,No,,,No,,Yes,Casual,Casual,,,Yes,Yes,"Lunch, Dinner",,Average,,,$11-30,C,4.0,885.0,https://www.yelp.com/biz/shake-shack-new-york-11?start=0,12.0
41571350,THE MET GRILL/DOUBLE TREE HOTEL,The Pearl Hotel,57.0,0.221357,Yes,,,,,,,,,,,,,,,,,,,,,,Free,,Yes,,,,,,,,,,,,Pricey,,4.5,118.0,https://www.yelp.com/biz/the-pearl-hotel-new-york?start=0,36.25
41573739,CREPERIE,Creperie,100.0,0.7068665,No,,,No,No,,Yes,,Yes,,,,No,Yes,Street,Yes,,Yes,No,,,,No,,,Casual,Casual,,,No,Yes,"Late Night, Dessert",,Average,,,Under $10,A,4.0,460.0,https://www.yelp.com/biz/creperie-new-york?start=0,10.25
41576836,MADISON DELI,Madison Deli,100.0,0.3192166666666667,No,,,,,,,,No,,,,No,,,,,Yes,No,,,,,,,,,,,Yes,Yes,,,Average,,,,,4.0,6.0,https://www.yelp.com/biz/madison-deli-ridgewood?start=0,28.8
41576850,WEST END BAR & GRILL,West End Bar & Grill,100.0,0.7238724999999999,Yes,No,,No,Full Bar,,No,No,No,No,,Yes,Yes,No,Street,Yes,,Yes,Yes,,Yes,,Free,,Yes,Casual,Casual,"Thu, Fri, Sat",No,Yes,No,"Brunch, Lunch, Dinner",,Average,,No,$11-30,A,4.0,327.0,https://www.yelp.com/biz/west-end-bar-and-grill-new-york?start=0,11.0
41583726,PRET A MANGER,Pret A Manger,100.0,0.6978092105263157,Yes,,,Yes,No,,Yes,,No,,,,No,No,,Yes,,Yes,No,,,,Free,,Yes,Casual,,,,Yes,Yes,"Breakfast, Lunch",,Average,,,Under $10,A,3.5,76.0,https://www.yelp.com/biz/pret-a-manger-new-york-50?start=0,7.666666666666667
41586885,CENTRAL MARKET ALL AMERICAN GRILL,The Capital Grille,47.0,0.8165385000000001,Yes,,,No,Full Bar,,Yes,Yes,No,,,Yes,Yes,No,Garage,Yes,,No,Yes,,,,Free,,,"Classy, Upscale",Dressy,"Mon, Fri, Sat",No,Yes,No,Dinner,,Average,,,$31-60,A,4.0,509.0,https://www.yelp.com/biz/the-capital-grille-new-york-3?start=0,9.75
41589520,FAIRFIELD INN,Fairfield Inn & Suites - Marriott,57.0,0.6648897435897435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
41589545,ZANNY'S CAFE,Zanny’s Cafe,92.0,0.7377123456790124,No,,,No,No,,,,Yes,,,,No,Yes,Street,Yes,,Yes,No,,,,,,,Casual,,,,No,Yes,"Breakfast, Lunch",,Quiet,,,Under $10,A,3.5,82.0,https://www.yelp.com/biz/zannys-cafe-new-york?start=0,8.75
41589635,PRODUCERS LOUNGE,The Press Lounge,69.0,0.7976030000000001,Yes,,,No,Full Bar,No,,,,,,,No,Yes,"Garage, Street",No,,,No,,,,No,,Yes,Trendy,,"Thu, Fri, Sat",No,Yes,,,,Average,,No,Pricey,A,4.0,902.0,https://www.yelp.com/biz/the-press-lounge-new-york-3?start=0,10.5
41591881,WILLIAM BARNACLE,William Barnacle Tavern,82.0,0.7771494623655916,Yes,,,No,Full Bar,,,,,,,Yes,No,No,,Yes,,,No,,,,,,,Intimate,,,,Yes,,,,Quiet,,No,Moderate,A,4.5,94.0,https://www.yelp.com/biz/william-barnacle-tavern-new-york?start=0,18.333333333333332
41595280,E & E Grill House,Il Corso,40.0,0.8289259999999998,Yes,,,,Full Bar,,No,,No,,,No,No,No,Street,Yes,,No,Yes,,Yes,,Free,,Yes,,Casual,,No,Yes,No,Dinner,,Average,,,$31-60,A,4.0,269.0,https://www.yelp.com/biz/il-corso-new-york?start=0,8.5
41597250,OXBOW TAVERN,Oxbow Tavern,100.0,0.5549947368421052,Yes,No,,,Full Bar,,,,Yes,No,,Yes,,Yes,Street,,,Yes,Yes,,Yes,,Free,,,,,,,No,No,,,,,,$31-60,A,3.0,38.0,https://www.yelp.com/biz/oxbow-tavern-new-york-2?start=0,9.333333333333334
41599313,THE MANCHESTER DINER,The Manchester Diner,100.0,0.5215050420168068,Yes,,,No,Beer & Wine Only,,No,,Yes,,,,Yes,No,Street,Yes,,Yes,No,,,,No,,,Casual,,,,Yes,Yes,"Breakfast, Brunch",,Average,,,$11-30,A,3.5,120.0,https://www.yelp.com/biz/the-manchester-diner-new-york?start=0,21.0
41605054,TOMPKINS SQUARE BAGELS,Tompkins Square Bagels - Avenue A,80.0,0.7544139999999999,No,No,,No,,,Yes,,,No,,,,,Street,No,,Yes,,,,Yes,,,Yes,,,,,,Yes,,,Average,,,Inexpensive,A,4.0,944.0,https://www.yelp.com/biz/tompkins-square-bagels-avenue-a-new-york?start=0,17.25
41605289,EARL OF SANDWICH,Earl of Sandwich,100.0,0.5808442857142856,Yes,,,Yes,No,,Yes,,Yes,,,,No,No,Street,Yes,,Yes,No,,,,No,,Yes,Casual,,,,No,Yes,Lunch,,Average,,,Under $10,A,3.5,140.0,https://www.yelp.com/biz/earl-of-sandwich-new-york?start=0,14.75
41605861,PIER 25 SNACK BAR,Pier 25,58.0,0.65759,No,,,,,,,,,Yes,,,,,Street,Yes,,,,,,,,,Yes,,,,,,Yes,,,,,,,A,4.5,135.0,https://www.yelp.com/biz/pier-25-new-york?start=0,7.333333333333333
41610749,MUDSPOT,MUD,60.0,0.772552,Yes,No,,No,Beer & Wine Only,,No,,No,No,,,No,Yes,Street,Yes,,Yes,No,,Yes,No,No,,Yes,"Hipster, Casual",Casual,,,Yes,No,"Breakfast, Brunch, Lunch",,Average,,,$11-30,A,4.0,1065.0,https://www.yelp.com/biz/mud-new-york-3?start=0,13.5
41614537,FLAMING SADDLES SALOON,Flaming Saddles Saloon,100.0,0.7286880952380953,No,,,No,Full Bar,,,,,,,Yes,Yes,No,Street,No,,,No,,,,No,,Yes,Casual,,"Thu, Fri, Sat",Yes,Yes,,,Juke Box,Average,,No,Moderate,A,4.0,168.0,https://www.yelp.com/biz/flaming-saddles-saloon-new-york?start=0,10.666666666666666
41616112,NFL-HUDDLE CAFE,Faces & Names,36.0,0.7258960000000001,Yes,,,No,Full Bar,,Yes,,No,,,,Yes,No,"Garage, Street",No,,Yes,Yes,,,,Free,,Yes,Casual,Casual,,No,Yes,No,Late Night,,Average,,No,$11-30,A,3.5,328.0,https://www.yelp.com/biz/faces-and-names-new-york?start=0,6.333333333333333
41616501,ARGOTEA,Argo Tea,93.0,0.7193085,Yes,,,No,,,No,,,,,,,No,Street,Yes,,Yes,,,,,Free,,Yes,,,,,,No,,,Quiet,,,Moderate,A,3.5,228.0,https://www.yelp.com/biz/argo-tea-new-york-3?start=0,3.6666666666666665
41616853,THE ALLIE WAY SPORTS BAR & GRILL,The Allie Way Sports Bar - CLOSED,83.0,0.7824479166666668,Yes,No,,,Full Bar,,,No,No,,,Yes,Yes,No,Street,Yes,,Yes,No,,Yes,,Free,,,Casual,,,,Yes,No,,,Average,,No,$11-30,A,4.0,49.0,https://www.yelp.com/biz/the-allie-way-sports-bar-new-york-2?start=0,13.0
41617019,UCB EAST COMEDY,UCB Theatre,62.0,0.3532833333333334,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,No,,,,,,,A,4.0,6.0,https://www.yelp.com/biz/ucb-theatre-new-york-2?start=0,9.666666666666666
41618158,STONE STREET COFFEE COMPANY,Stone Street Coffee Company,100.0,0.7737859154929576,Yes,,,No,,,No,,,,,,,No,Street,Yes,,Yes,,,,,Free,,,,,,,,,,,,,,Moderate,A,4.0,71.0,https://www.yelp.com/biz/stone-street-coffee-company-manhattan?start=0,17.666666666666668
41618228,FIVE GUYS FAMOUS BURGERS AND FRIES,Lucky’s Famous Burgers,64.0,0.627513,Yes,,,No,No,,Yes,,Yes,,,,Yes,No,Street,Yes,,Yes,No,No,,,Free,,,Casual,Casual,,,Yes,Yes,"Lunch, Dinner",,Average,,,$11-30,A,3.5,296.0,https://www.yelp.com/biz/luckys-famous-burgers-new-york-2?start=0,8.0
41618267,PHOENIX,Phoenix,100.0,0.5809607999999999,Yes,,,No,Full Bar,,,,,,,,No,No,Street,Yes,,,No,,,,,,Yes,"Divey, Casual",,"Wed, Thu, Fri",Yes,Yes,,,Juke Box,Average,,Yes,Inexpensive,A,3.5,125.0,https://www.yelp.com/biz/phoenix-new-york?start=0,12.666666666666666
41619055,SONS OF ESSEX,Sons of Essex,100.0,0.8316335000000001,Yes,No,,No,Full Bar,,Yes,,Yes,,,Yes,Yes,No,"Garage, Street",Yes,,Yes,Yes,,Yes,Yes,Free,,,"Hipster, Trendy",Casual,"Fri, Sat, Sun",Yes,Yes,No,"Brunch, Dinner",DJ,Loud,,No,$11-30,A,4.0,1028.0,https://www.yelp.com/biz/sons-of-essex-new-york?start=0,23.25
41619703,FOUR CUTS STEAKHOUSE,Tudor City Steakhouse,78.0,0.8690625000000001,Yes,No,,No,Full Bar,,Yes,,Yes,,,Yes,Yes,Yes,Garage,Yes,,Yes,Yes,,Yes,Yes,Free,,,,Casual,,,Yes,No,,,Average,,,$31-60,A,4.0,32.0,https://www.yelp.com/biz/tudor-city-steakhouse-new-york?start=0,20.0
41621240,CITY SWIGGERS,City Swiggers,100.0,0.683741610738255,Yes,,,No,,,No,,,,,,,,Street,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,Moderate,A,4.0,150.0,https://www.yelp.com/biz/city-swiggers-new-york?start=0,8.666666666666666
41622776,CAFE AKA,Cafe Triskell,57.0,0.8140139999999999,Yes,,,No,,,No,,Yes,,,,No,No,Street,Yes,,Yes,,,,,No,,Yes,Casual,Casual,,,No,No,"Brunch, Dinner",,Average,,,$11-30,A,4.5,401.0,https://www.yelp.com/biz/cafe-triskell-astoria?start=0,16.0
41623363,DUNKIN' DONUTS,Dunkin Donuts,96.0,0.6642222222222222,Yes,,,Yes,No,,,,No,,,,No,No,,Yes,,Yes,No,,No,,Free,,,,,,,No,,,,Quiet,,,Under $10,,4.5,9.0,https://www.yelp.com/biz/dunkin-donuts-new-york-300?start=0,16.0
41623475,POTBELLY SANDWICH WORKS,Potbelly Sandwich Shop,84.0,0.5238551912568306,Yes,,,No,No,,Yes,,Yes,,,,No,No,Street,No,,Yes,No,No,,,Free,,,Casual,,,,Yes,Yes,Lunch,,Average,,,Under $10,A,3.5,183.0,https://www.yelp.com/biz/potbelly-sandwich-shop-new-york-5?start=0,11.5
41625961,DUNKIN' DONUTS,Dunkin Donuts,96.0,-0.1444388888888889,Yes,,,Yes,,,,,,,,,,No,,No,,Yes,,,,,Free,,,,,,,,,,,,,,Inexpensive,A,2.0,18.0,https://www.yelp.com/biz/dunkin-donuts-new-york-317?start=0,6.75
41627949,ALGONQUIN HOTEL/BLUE BAR,Royalton Hotel,53.0,0.6600505000000001,Yes,,,No,,No,,,,,,,,,,,,,,,,,Paid,,Yes,,,,,,,,,,,,Pricey,A,3.5,222.0,https://www.yelp.com/biz/royalton-hotel-new-york?start=0,21.0
41628361,THE AINSWORTH,The Ainsworth,100.0,0.5657979999999999,Yes,,,No,Full Bar,,Yes,,Yes,,,,Yes,No,Street,Yes,,Yes,Yes,,,,Free,,,Trendy,Casual,"Thu, Sat, Sun",No,Yes,No,Dinner,,Very Loud,,No,$11-30,A,3.0,569.0,https://www.yelp.com/biz/the-ainsworth-new-york?start=0,16.333333333333332
41628608,LILLIE'S,ilili,62.0,0.838981,Yes,,,No,Full Bar,,Yes,Yes,Yes,No,,Yes,No,Yes,Street,No,,Yes,Yes,,Yes,,No,,Yes,Trendy,Dressy,,No,Yes,No,Dinner,,Average,,No,$31-60,A,4.0,2183.0,https://www.yelp.com/biz/ilili-new-york-2?start=0,16.4
41629513,PRET A MANGER,Pret A Manger,100.0,0.619918,Yes,,,,No,,Yes,,No,,,,No,No,Street,No,,Yes,No,,,,Free,,,Casual,,,,Yes,Yes,Lunch,,Average,,,Under $10,A,3.5,51.0,https://www.yelp.com/biz/pret-a-manger-new-york-55?start=0,5.5
41630558,TRI TIP GRILL,Tri Tip Grill,100.0,0.6067263157894738,Yes,,,,Beer & Wine Only,,Yes,,Yes,,,,No,No,,No,,Yes,No,,No,,No,,,Casual,Casual,,,No,Yes,Lunch,,Loud,,,$11-30,B,3.5,95.0,https://www.yelp.com/biz/tri-tip-grill-new-york-2?start=0,18.333333333333332
41630613,PRET A MANGER,Pret A Manger,100.0,0.7139682926829268,Yes,,,,No,,Yes,,No,,,,No,No,Street,Yes,,Yes,No,,,,Free,,,Casual,,,,Yes,Yes,"Breakfast, Lunch",,Average,,,Under $10,,4.0,42.0,https://www.yelp.com/biz/pret-a-manger-new-york-39?start=0,7.666666666666667
41631630,ROCKWOOD MUSIC HALL (STAGE ZERO),Rockwood Music Hall,75.0,0.8055979999999999,Yes,,,No,Full Bar,,,,,,,,No,No,Street,Yes,,,No,,,,No,,Yes,Hipster,,,Yes,Yes,No,,Live,Loud,,No,Moderate,A,4.5,398.0,https://www.yelp.com/biz/rockwood-music-hall-new-york?start=0,12.333333333333334
41631962,POPEYES LOUISIANA KITCHEN,Popeyes Louisiana Kitchen,100.0,0.37964193548387104,Yes,,,No,No,,No,,No,,,,Yes,No,Street,Yes,,Yes,No,No,,,No,,,Casual,,,,Yes,Yes,"Lunch, Dinner",,Average,,,Under $10,A,3.0,31.0,https://www.yelp.com/biz/popeyes-louisiana-kitchen-new-york-15?start=0,8.0
41633315,5 BORO BURGER,5 Boro Burger,100.0,0.46066818181818187,Yes,,,No,Full Bar,,Yes,No,Yes,No,,Yes,Yes,Yes,,Yes,,Yes,No,No,Yes,,Free,,Yes,Casual,Casual,"Mon, Wed, Sat",No,Yes,Yes,"Lunch, Dinner, Late Night",,Average,,No,$11-30,,3.0,182.0,https://www.yelp.com/biz/5-boro-burger-new-york-3?start=0,17.0
41635392,JUICE GENERATION,Juice Generation,100.0,0.695627868852459,Yes,,,No,,,No,,,,,,,,Street,Yes,,Yes,,,,,No,,,,,,,,,,,,,,Moderate,A,4.0,122.0,https://www.yelp.com/biz/juice-generation-new-york-5?start=0,4.333333333333333
41636061,JACK'S WIFE FREDA,Jack’s Wife Freda,94.0,0.8286525,Yes,,,No,Full Bar,,No,,No,,,,No,Yes,Street,Yes,,Yes,Yes,,,,No,,,Casual,Casual,,,Yes,No,"Brunch, Lunch",,Loud,,,$11-30,A,4.0,1650.0,https://www.yelp.com/biz/jacks-wife-freda-new-york?start=0,17.75
41637054,ORION DINER & GRILL,Orion Diner & Grill,100.0,0.338639226519337,Yes,,,No,Beer & Wine Only,,No,,Yes,,,,Yes,No,Street,Yes,,Yes,No,,,,No,,,Casual,,,,Yes,Yes,"Breakfast, Late Night",,Average,,,$11-30,A,2.5,181.0,https://www.yelp.com/biz/orion-diner-and-grill-new-york-2?start=0,13.75
41637125,HAVEN'S KITCHEN,Haven’s Kitchen,93.0,0.8242390625,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,A,4.0,64.0,https://www.yelp.com/biz/havens-kitchen-new-york-2?start=0,12.666666666666666
41637468,BUDDHA BEER BAR,Buddha Beer Bar,100.0,0.6394420000000001,Yes,,,No,Full Bar,,No,,No,,,Yes,Yes,Yes,Street,No,,Yes,,,,,No,,Yes,Casual,Casual,,,Yes,No,"Dinner, Late Night",,Average,,No,$11-30,A,3.5,223.0,https://www.yelp.com/biz/buddha-beer-bar-new-york?start=0,25.6
41638085,AMUSED,Amused,100.0,0.8629225806451613,No,No,,No,Beer & Wine Only,,Yes,No,No,,,No,No,No,Garage,No,,Yes,No,,Yes,Yes,Free,,,Casual,,,No,Yes,Yes,Brunch,,Average,,,$11-30,A,4.5,31.0,https://www.yelp.com/biz/amused-new-york?start=0,9.5
41638655,"DUNKIN' DONUTS, BASKIN ROBBINS",Dunkin Donuts Baskin Robbins,97.0,0.14210000000000003,Yes,,,,,,,,,,,,,No,,Yes,,Yes,,,,,Free,,Yes,,,,,,,,,,,,Inexpensive,85 out of 100,2.5,10.0,https://www.yelp.com/biz/dunkin-donuts-baskin-robbins-yonkers-2?start=0,11.5
41639573,CORNER SOCIAL,Corner Social,100.0,0.6344415,Yes,,,No,Full Bar,,Yes,,Yes,,,Yes,Yes,Yes,Street,Yes,,Yes,Yes,,Yes,Yes,Free,,Yes,"Casual, Trendy",Casual,"Thu, Fri, Sat",No,Yes,Yes,Late Night,,Average,,No,$11-30,A,3.0,872.0,https://www.yelp.com/biz/corner-social-new-york-2?start=0,22.2
41639734,VITAE,Vitae,100.0,0.8683835000000001,Yes,,,No,Full Bar,,Yes,Yes,No,,,Yes,No,No,Street,No,,Yes,Yes,,Yes,,No,,Yes,Classy,Dressy,"Thu, Fri, Sat",No,Yes,No,Dinner,Background,Average,,,$31-60,B,4.0,745.0,https://www.yelp.com/biz/vitae-new-york?start=0,17.5
41639964,THE little BEET TABLE,The Little Beet Table,100.0,0.8341595,Yes,No,,No,Full Bar,,No,,No,No,,Yes,No,No,Street,Yes,,Yes,Yes,,Yes,Yes,No,,Yes,Trendy,Casual,,No,Yes,No,Dinner,,Average,,No,$11-30,A,4.0,441.0,https://www.yelp.com/biz/the-little-beet-table-new-york-2?start=0,14.25
41640535,BALDUCCI'S,Balducci’s Gourmet On The Go,47.0,0.6299241379310344,Yes,,,,No,,Yes,,No,,,,No,No,Street,Yes,,Yes,No,,No,,No,,,Casual,Casual,,,No,Yes,"Breakfast, Lunch",,Average,,,$11-30,A,3.5,88.0,https://www.yelp.com/biz/balduccis-gourmet-on-the-go-new-york-2?start=0,15.5
41640556,COVE LOUNGE,Cove Lounge,100.0,0.7052710000000001,Yes,,,Yes,Full Bar,,,,,,,Yes,Yes,Yes,Street,Yes,,,Yes,,,,No,,Yes,Trendy,,"Thu, Fri, Sat",Yes,Yes,,,DJ,Average,,No,Moderate,C,3.5,236.0,https://www.yelp.com/biz/cove-lounge-new-york?start=0,23.333333333333332
41640846,RANDOLPH BEER,Randolph Beer,100.0,0.5754583333333333,Yes,No,,No,Full Bar,,Yes,,No,Yes,,No,Yes,Yes,"Garage, Street",Yes,,Yes,Yes,,Yes,Yes,Free,,Yes,Casual,Casual,,,Yes,No,Dinner,,Average,,,$11-30,A,3.5,49.0,https://www.yelp.com/biz/randolph-beer-brooklyn-7?start=0,17.0
41642375,HARLEM FOOD BAR,Harlem Food Bar,100.0,0.673973,Yes,No,,Yes,Full Bar,,No,,No,Yes,,Yes,Yes,Yes,Street,Yes,,Yes,No,,Yes,Yes,Free,,Yes,Casual,Casual,,,Yes,No,Dinner,,Average,,,$11-30,A,3.5,220.0,https://www.yelp.com/biz/harlem-food-bar-new-york?start=0,15.0
41645543,HAVEN ROOFTOP / SANCTUARY HOTEL,Haven Rooftop,59.0,0.584673,Yes,,,No,Full Bar,,No,,No,,,,Yes,Yes,"Garage, Street",No,,No,Yes,,,,Free,,Yes,Trendy,Casual,"Wed, Fri, Sat",No,Yes,No,"Dinner, Late Night",,Average,,No,$11-30,,3.0,550.0,https://www.yelp.com/biz/haven-rooftop-new-york?start=0,8.666666666666666
41646166,MIKEY'S,Mikey’s Burger,57.0,0.47192899999999993,No,No,,No,No,,No,,Yes,,,,No,No,Street,No,,Yes,No,,,,No,,,Casual,Casual,,,No,Yes,"Lunch, Late Night",,Average,,,Under $10,A,3.5,389.0,https://www.yelp.com/biz/mikeys-burger-new-york?start=0,26.75
41647741,THE STANDARD EAST VILLAGE,"The Standard, East Village",98.0,0.6192016666666668,Yes,,,Yes,,,,,,No,,,,,,,,,,,,,Free,,Yes,,,,,,,,,,,,Pricey,A,3.5,146.0,https://www.yelp.com/biz/the-standard-east-village-new-york?start=0,27.5
41649130,THE SMITH,The Smith,100.0,0.7925764999999998,Yes,,,No,Full Bar,,Yes,Yes,Yes,Yes,,Yes,No,Yes,Street,Yes,,Yes,Yes,,,,Free,,,"Casual, Trendy",Casual,,No,Yes,Yes,"Brunch, Lunch, Dinner",,Average,,No,$11-30,A,3.5,1411.0,https://www.yelp.com/biz/the-smith-new-york-3?start=0,11.0
41649356,"DUNKIN' DONUTS, HUDSON NEWS",Dunkin’ Donuts,63.0,0.06517499999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
41649377,"DUNKIN' DONUTS, HUDSON NEWS",Dunkin’ Donuts,63.0,0.06517499999999998,Yes,,,,,,,,,,,,,No,,No,,Yes,,,,,,,,,,,,,,,,,,,Inexpensive,A,2.0,12.0,https://www.yelp.com/biz/dunkin-donuts-new-york-84?start=0,17.0
41651780,THE GUTHRIE INN,The Guthrie Inn,100.0,0.7687205357142857,Yes,,,,Full Bar,,,,,,,,No,No,Street,Yes,,,No,,,,,,,Casual,,,,No,,,,Average,,No,Moderate,A,4.0,112.0,https://www.yelp.com/biz/the-guthrie-inn-new-york?start=0,14.333333333333334
41651838,BEER AUTHORITY,Beer Authority,100.0,0.5473945,Yes,No,,No,Full Bar,,,,,,,,Yes,Yes,"Garage, Street",Yes,,,Yes,,,,Free,,,Casual,,"Thu, Fri, Sat",No,Yes,,,,Average,,No,Moderate,A,3.5,572.0,https://www.yelp.com/biz/beer-authority-new-york?start=0,14.8
41655590,GIGI CAFE,Gigi Cafe,100.0,0.5341487046632124,Yes,,,Yes,No,,Yes,,Yes,,,,No,No,Street,Yes,,Yes,No,,,,Free,,,Casual,,,,Yes,Yes,"Breakfast, Lunch",,Average,,,Under $10,A,3.5,193.0,https://www.yelp.com/biz/gigi-cafe-new-york-5?start=0,10.0
41659498,WORLD YACHT DUCHESS,World Yacht,73.0,0.7725493670886076,Yes,,,,Full Bar,,Yes,,No,,,,No,Yes,Valet,Yes,,No,Yes,,No,Yes,No,,,"Romantic, Upscale",Dressy,,,Yes,Yes,,,Average,,,$31-60,A,3.5,79.0,https://www.yelp.com/biz/world-yacht-new-york?start=0,15.333333333333334
41660386,THE LATELY,The Lately,100.0,0.3742528301886792,Yes,No,,No,Full Bar,,,Yes,,No,,Yes,Yes,No,,No,,,Yes,,,Yes,Free,,Yes,"Casual, Trendy",,"Thu, Fri, Sat",Yes,Yes,,,,Average,,No,Moderate,A,2.5,53.0,https://www.yelp.com/biz/the-lately-new-york?start=0,11.333333333333334
41660537,AMERICAN BAR,American Trash,77.0,0.6532656250000001,No,,,No,,,No,,No,,,,Yes,No,Valet,Yes,,No,No,,,,Free,,,"Divey, Casual",,,,Yes,No,Late Night,"Live, Juke Box",Average,,Yes,Under $10,A,4.0,96.0,https://www.yelp.com/biz/american-trash-new-york-2?start=0,14.75
41664437,BOCADO CAFE,Bocado Cafe,100.0,0.7372399999999999,Yes,,,No,Beer & Wine Only,,No,,Yes,,,,Yes,No,Street,No,,Yes,Yes,,,,Free,,,Casual,Casual,"Fri, Sat, Sun",No,Yes,Yes,"Brunch, Lunch, Dinner",,Average,,,$11-30,A,3.5,407.0,https://www.yelp.com/biz/bocado-cafe-new-york?start=0,9.666666666666666
